Comment,Designator,Footprint,LCSC,Quantity
TL074,U4,SOIC-14_3.9x8.7mm_P1.27mm,C107644,1
10u,"C18,C19",C_1206_3216Metric,C13585,2
100n,"C20,C21,C22",C_0603_1608Metric,C14663,3
150p,C13,C_0603_1608Metric,C1594,1
1n5,C1,R_0603_1608Metric,C1595,1
15n,C9,C_0603_1608Metric,C1596,1
2n2,C12,C_0603_1608Metric,C1604,1
3n3,C8,C_0603_1608Metric,C1613,1
470p,C10,C_0603_1608Metric,C1620,1
47n,"C2,C3",R_0603_1608Metric,C1622,2
220u,C17,CP_Elec_6.3x7.7,C190724,1
MMBT3904,Q3,SOT-23,C20526,1
33n,C5,R_0603_1608Metric,C21117,1
1k,"R18,R31,R4,R5",R_0603_1608Metric,C21190,4
MMBT3906,Q4,SOT-23,C2143,1
220k,"R10,R17,R27",R_0603_1608Metric,C22961,3
3k3,R21,R_0603_1608Metric,C22978,1
470k,R13,R_0603_1608Metric,C23178,1
47,R33,R_0603_1608Metric,C23182,1
6k8,"R20,R30,R6",R_0603_1608Metric,C23212,3
68k,R14,R_0603_1608Metric,C23231,1
NE555D,U5,SOIC-8_3.9x4.9mm_P1.27mm,C234230,1
100k,"R15,R32,R7",R_0603_1608Metric,C25803,3
10k,"R22,R23,R24,R28",R_0603_1608Metric,C25804,4
120k,R12,R_0603_1608Metric,C25808,1
47k,"R25,R26,R34,R35,R8,R9",R_0603_1608Metric,C25819,6
20k,"R1,R16,R19,R29,R36",R_0603_1608Metric,C4184,5
2k2,R2,R_0603_1608Metric,C4190,1
100k,RV3,Potentiometer_Bourns_3314J_Vertical,C51284,1
4n7,C11,C_0603_1608Metric,C53987,1
10n,"C15,C6",C_0603_1608Metric,C57112,2
1u,"C14,C16,C7",CP_EIA-3216-10_Kemet-I,C7175,3
LM358,U3,SOIC-8_3.9x4.9mm_P1.27mm,C7950,1
