Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1n5,R_0603_1608Metric,89.154,-115.824,90.0,top
C10,470p,C_0603_1608Metric,116.332,-122.048,0.0,top
C11,4n7,C_0603_1608Metric,108.712,-122.81,-90.0,top
C12,2n2,C_0603_1608Metric,112.268,-122.81,-90.0,top
C13,150p,C_0603_1608Metric,115.316,-124.714,180.0,top
C14,1u,CP_EIA-3216-10_Kemet-I,109.728,-118.238,270.0,top
C15,10n,C_0603_1608Metric,116.332,-111.823,0.0,top
C16,1u,CP_EIA-3216-10_Kemet-I,109.982,-106.743,90.0,top
C17,220u,CP_Elec_6.3x7.7,99.314,-143.256,90.0,top
C18,10u,C_1206_3216Metric,104.648,-145.796,90.0,top
C19,10u,C_1206_3216Metric,104.648,-140.716,90.0,top
C2,47n,R_0603_1608Metric,103.697,-105.219,0.0,top
C20,100n,C_0603_1608Metric,100.076,-111.061,180.0,top
C21,100n,C_0603_1608Metric,126.746,-115.062,180.0,top
C22,100n,C_0603_1608Metric,101.919,-123.951,-90.0,top
C3,47n,R_0603_1608Metric,89.154,-109.474,90.0,top
C5,33n,R_0603_1608Metric,120.396,-105.918,-90.0,top
C6,10n,R_0603_1608Metric,125.73,-108.267,180.0,top
C7,1u,CP_EIA-3216-10_Kemet-I,122.174,-116.84,270.0,top
C8,3n3,C_0603_1608Metric,121.92,-120.967,-90.0,top
C9,15n,C_0603_1608Metric,119.634,-122.745,-90.0,top
Q3,MMBT3904,SOT-23,91.1075,-124.079,180.0,top
Q4,MMBT3906,SOT-23,98.617,-124.205,180.0,top
R1,20k,R_0603_1608Metric,99.314,-118.047,-90.0,top
R10,220k,R_0603_1608Metric,93.218,-112.268,180.0,top
R12,120k,R_0603_1608Metric,94.234,-104.711,0.0,top
R13,470k,R_0603_1608Metric,99.379,-108.013,90.0,top
R14,68k,R_0603_1608Metric,96.52,-112.268,0.0,top
R15,100k,R_0603_1608Metric,101.982,-107.251,0.0,top
R16,20k,R_0603_1608Metric,98.6035,-121.157,180.0,top
R17,220k,R_0603_1608Metric,119.634,-108.458,0.0,top
R18,1k,R_0603_1608Metric,120.396,-110.998,90.0,top
R19,20k,R_0603_1608Metric,123.761,-111.823,180.0,top
R2,2k2,R_0603_1608Metric,100.076,-114.999,0.0,top
R20,6k8,R_0603_1608Metric,122.936,-109.162787,90.0,top
R21,3k3,R_0603_1608Metric,126.492,-124.777,180.0,top
R22,10k,R_0603_1608Metric,122.682,-124.777,180.0,top
R23,10k,R_0603_1608Metric,119.126,-126.047,180.0,top
R24,10k,R_0603_1608Metric,108.204,-131.635,90.0,top
R25,47k,R_0603_1608Metric,109.728,-126.301,0.0,top
R26,47k,R_0603_1608Metric,113.538,-126.746,0.0,top
R27,220k,R_0603_1608Metric,107.442,-118.681,90.0,top
R28,10k,R_0603_1608Metric,114.554,-105.981,90.0,top
R29,20k,R_0603_1608Metric,114.617,-109.791,0.0,top
R30,6k8,R_0603_1608Metric,112.776,-111.823,0.0,top
R31,1k,R_0603_1608Metric,109.728,-111.315,-90.0,top
R32,100k,R_0603_1608Metric,106.426,-105.981,-90.0,top
R33,47,R_0603_1608Metric,94.551,-147.32,0.0,top
R34,47k,R_0603_1608Metric,107.188,-144.843,-90.0,top
R35,47k,R_0603_1608Metric,107.188,-141.541,-90.0,top
R36,20k,R_0603_1608Metric,95.504,-124.269,90.0,top
R4,1k,R_0603_1608Metric,91.982,-121.031,180.0,top
R5,1k,R_0603_1608Metric,88.9,-119.634,90.0,top
R6,6k8,R_0603_1608Metric,85.344,-130.747,90.0,top
R7,100k,R_0603_1608Metric,85.344,-134.811,90.0,top
R8,47k,R_0603_1608Metric,107.95,-136.911,90.0,top
R9,47k,R_0603_1608Metric,100.076,-105.219,180.0,top
RV3,100k,Potentiometer_Bourns_3314J_Vertical,126.746,-119.476,270.0,top
U3,LM358,SOIC-8_3.9x4.9mm_P1.27mm,94.234,-108.521,270.0,top
U4,TL074,SOIC-14_3.9x8.7mm_P1.27mm,115.824,-117.159,180.0,top
U5,NE555D,SOIC-8_3.9x4.9mm_P1.27mm,94.488,-117.094,270.0,top
